state,park,parkcode,category,address,zipcode,phone
alaska,Wrangell - St Elias,wrst,National Park & Preserve,"Copper Center, AK",99573,(907) 822-5234
alaska,Yukon - Charley Rivers,yuch,National Preserve,"Fairbanks, AK",99701,907-459-3730
american samoa,National Park of American Samoa,npsa,,"Pago Pago, AS",96799,(684) 633-7082
arizona,Canyon de Chelly,cach,National Monument,"Chinle, AZ",86503,(928) 674-5500
arizona,Casa Grande Ruins,cagr,National Monument,"Coolidge, AZ",85128,(520) 723-3172
arizona,Chiricahua,chir,National Monument,"Willcox, AZ",85643,(520) 824-3560
arizona,Coronado,coro,National Memorial,"Hereford, AZ",85615,(520) 366-5515
arizona,Fort Bowie,fobo,National Historic Site,"Bowie, AZ",85605,520-847-2500
arizona,Glen Canyon,glca,National Recreation Area,"Page, AZ",86040,(928) 608-6200
arizona,Grand Canyon,grca,National Park,"Grand Canyon, AZ",86023,928-638-7888
arizona,Grand Canyon-Parashant,para,National Monument,"St. George, UT",84790,(435) 688-3200
arizona,Hubbell Trading Post,hutr,National Historic Site,"Ganado, AZ",86505-0150,(928) 755-3475
arizona,Juan Bautista de Anza,juba,National Historic Trail,"Richmond, CA",94804,(510) 232-5050
arizona,Lake Mead,lake,National Recreation Area,"Boulder City, NV",89005,(702) 293-8990
arizona,Montezuma Castle,moca,National Monument,"Camp Verde, AZ",86322,(928) 567-3322
arizona,Navajo,nava,National Monument,"Shonto, AZ",86045,(928) 672-2700
arizona,Old Spanish,olsp,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
arizona,Organ Pipe Cactus,orpi,National Monument,"Ajo, AZ",85321,(520) 387-6849
arizona,Petrified Forest,pefo,National Park,"Petrified Forest, AZ",86028,(928) 524-6228
arizona,Pipe Spring,pisp,National Monument,"Fredonia, AZ",86022,(928) 643-7105
arizona,Saguaro,sagu,National Park,"Tucson, AZ",85730,(520) 733-5153
arizona,Sunset Crater Volcano,sucr,National Monument,"Flagstaff, AZ",86004,(928) 526-0502
arizona,Tonto,tont,National Monument,"Roosevelt, AZ",85545,(928) 467-2241
arizona,Tumacácori,tuma,National Historical Park,"Tumacacori, AZ",85640,(520) 377-5060
arizona,Tuzigoot,tuzi,National Monument,"Camp Verde, AZ",86322,(928) 634-5564
arizona,Walnut Canyon,waca,National Monument,"Flagstaff, AZ",86004,(928) 526-3367
arizona,Wupatki,wupa,National Monument,"Flagstaff, AZ",86004,9286792365 or 9288561705
arkansas,Arkansas Post,arpo,National Memorial,"Gillett, AR",72055,(870) 548-2207
arkansas,Buffalo,buff,National River,"Harrison, AR",72601,(870) 439-2502
arkansas,Fort Smith,fosm,National Historic Site,"Fort Smith, AR",72901,(479) 783-3961
arkansas,Hot Springs,hosp,National Park,"Hot Springs, AR",71901,(501) 620-6715
arkansas,Little Rock Central High School,chsc,National Historic Site,"Little Rock, AR",72202-5212,501.374.1957
arkansas,Pea Ridge,peri,National Military Park,"Garfield, AR",72732,479-451-8122
arkansas,President William Jefferson Clinton Birthplace Home,wicl,National Historic Site,"Hope, AR",71801,(870) 777-4455
arkansas,Trail Of Tears,trte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
california,Alcatraz Island,alca,,"San Francisco, CA",94123,(415) 561-4900
california,Cabrillo,cabr,National Monument,"San Diego, CA",92106,(619) 523-4285
california,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
california,Castle Mountains,camo,National Monument,"Barstow, CA",92311,(760) 252-6100
california,César E. Chávez,cech,National Monument,"Keene, CA",93531,(661) 823-6134
california,Channel Islands,chis,National Park,"Ventura, CA",93001,(805) 658-5730
california,Death Valley,deva,National Park,"Ventura, CA",93001,(760) 786-3200
california,Devils Postpile,depo,National Monument,"Mammoth Lakes, CA",93546,(760) 934-2289
california,Eugene O'Neill,euon,National Historic Site,"Danville, CA",94526,925-228-8860
california,Fort Point,fopo,National Historic Site,"San Francisco, CA",94123,(415) 561-4959
california,Golden Gate,goga,National Recreation Area,"San Francisco, CA",94123-0022,(415) 561-4700
california,John Muir,jomu,National Historic Site,"Martinez, CA",94553,(925) 228-8860
california,Joshua Tree,jotr,National Park,"Twentynine Palms, CA",92277-3597,(760) 367-5500
california,Juan Bautista de Anza,juba,National Historic Trail,"Richmond, CA",94804,(510) 232-5050
california,Lassen Volcanic,lavo,National Park,"Mineral, CA",96063,(530) 595-4480
california,Lava Beds,labe,National Monument,"Tulelake, CA",96134,(530) 667-8113
california,Manzanar,manz,National Historic Site,"Independence, CA",93526,(760)878-2194
california,Mojave,moja,National Preserve,"Barstow, CA",92311,(760) 252-6100
california,Muir Woods,muwo,National Monument,"Mill Valley, CA",94941,(415) 561-2850
california,Old Spanish,olsp,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
california,Pinnacles,pinn,National Park,"Paicines, CA",95043,(831) 389-4486
california,Point Reyes,pore,National Seashore,"Point Reyes Station, CA",94956,415-464-5100
california,Pony Express,poex,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
california,Port Chicago Naval Magazine,poch,National Memorial,"Martinez, CA",94553,(925) 228-8860
california,Presidio of San Francisco,prsf,,"San Francisco, CA",94123,(415) 561-4323
california,Redwood,redw,National and State Parks,"Crescent City, CA",95531,(707) 464-6101
california,Rosie the Riveter WWII Home Front,rori,National Historical Park,"Richmond, CA",94804,(510) 232-5050
california,San Francisco Maritime,safr,National Historical Park,"San Francisco, CA",94123,(415) 561-7000
california,Santa Monica Mountains,samo,National Recreation Area,"Calabasas, CA",91302,(805) 370-2301
california,Sequoia & Kings Canyon,seki,National Parks,"Three Rivers, CA",93271,(559) 565-3341
california,Tule Lake,tule,National Monument,"Tulelake, CA",96134,5302600537or5306678113
california,Whiskeytown,whis,National Recreation Area,"Whiskeytown, CA",96095,(530) 242-3400
california,Yosemite,yose,National Park,"Whiskeytown, CA",96095,209/372-0200
colorado,Bent's Old Fort,beol,National Historic Site,"La Junta, CO",81050,(719) 383-5010
colorado,Black Canyon Of The Gunnison,blca,National Park,"Gunnison, CO",81230,(970) 641-2337
colorado,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
colorado,Colorado,colm,National Monument,"Fruita, CO",81521,(970) 858-2800
colorado,Curecanti,cure,National Recreation Area,"Gunnison, CO",81230,(970) 641-2337
colorado,Dinosaur,dino,National Monument,"Dinosaur, CO",81610,(435) 781-7700
colorado,Florissant Fossil Beds,flfo,National Monument,"Florissant, CO",80816,(719) 748-3253
colorado,Great Sand Dunes,grsa,National Park & Preserve,"Mosca, CO",81146,(719) 378-6395
colorado,Hovenweep,hove,National Monument,"Cortez, CO",81321,(970) 562-4282
colorado,Mesa Verde,meve,National Park,"Mesa Verde National Park, CO",81330,970-529-4465
colorado,Old Spanish,olsp,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
colorado,Pony Express,poex,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
colorado,Rocky Mountain,romo,National Park,"Estes Park, CO",80517,(970) 586-1206
colorado,Sand Creek Massacre,sand,National Historic Site,"Eads, CO",81036-0249,(719) 438-5916
colorado,Santa Fe,safe,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
colorado,Yucca House,yuho,National Monument,"Mesa Verde, CO",81330,(970) 529-4465
connecticut,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278
connecticut,Coltsville,colt,National Historical Park,"Springfield, MA",01105,(860) 500-6078
connecticut,New England,neen,National Scenic Trail,"Springfield, MA",01105,413-351-8182
connecticut,Washington-Rochambeau Revolutionary Route,waro,National Historic Trail,"King of Prussia, PA",19406,610-783-1006
connecticut,Weir Farm,wefa,National Historical Park,"Wilton, CT",06897,(203) 834-1896
delaware,Captain John Smith Chesapeake,cajo,National Historic Trail,"Yorktown, VA",23690,(757) 898-3400
delaware,Chesapeake Bay,cbpo,,"Annapolis, MD",21403,(410) 260-2470
delaware,First State,frst,National Historical Park,"New Castle, DE",19720,(302) 544-6363
delaware,Washington-Rochambeau Revolutionary Route,waro,National Historic Trail,"King of Prussia, PA",19406,610-783-1006
florida,Big Cypress,bicy,National Preserve,"Ochopee, FL",34141,(239) 695-2000
florida,Biscayne,bisc,National Park,"Homestead, FL",33033,(305) 230-1144
florida,Canaveral,cana,National Seashore,"Titusville, FL",32796,(321) 267-1110
florida,Castillo de San Marcos,casa,National Monument,"Saint Augustine, FL",32084,(904) 829-6506
florida,De Soto,deso,National Memorial,"Bradenton, FL",34209,(941) 792-0458
florida,Dry Tortugas,drto,National Park,"Homestead, FL",33034,(305) 242-7700
florida,Everglades,ever,National Park,"Homestead, FL",33034,(305) 242-7700
florida,Timucuan,foca,Ecological & Historic Preserve,"Jacksonville, FL",32225,904-641-7155
florida,Fort Matanzas,foma,National Monument,"Saint Augustine, FL",32080,(904) 471-0116
florida,Gulf Islands,guis,National Seashore,"Gulf Breeze, FL",32563,(850) 934-2600
florida,Timucuan,timu,Ecological & Historic Preserve,"Jacksonville, FL",32225,904-641-7155
georgia,Andersonville,ande,National Historic Site,"Andersonville, GA",31711,(229) 924-0343
georgia,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278
georgia,Chattahoochee River,chat,National Recreation Area,"Sandy Springs, GA",30350,678-538-1200
georgia,Chickamauga & Chattanooga,chch,National Military Park,"Fort Oglethorpe, GA",30742,706-866-9241
georgia,Cumberland Island,cuis,National Seashore,"St. Marys, GA",31558,(912) 882-4336
georgia,Fort Frederica,fofr,National Monument,"St. Simons Island, GA",31522,(912) 638-3639
georgia,Fort Pulaski,fopu,National Monument,"Savannah, GA",31410,(912) 786-5787
georgia,Jimmy Carter,jica,National Historical Park,"Plains, GA",31780,(229) 824 - 4104
georgia,Kennesaw Mountain,kemo,National Battlefield Park,"Kennesaw, GA",30152,770-427-4686
georgia,"Martin Luther King, Jr.",malu,National Historical Park,"Atlanta, GA",30312,(404) 331-5190
georgia,Ocmulgee Mounds,ocmu,National Historical Park,"Macon, GA",31217,(478) 752-8257
georgia,Trail Of Tears,trte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
guam,War In The Pacific,wapa,National Historical Park,"Hagatna, GU",96910,(671) 477-7278
hawaii,Ala Kahakai,alka,National Historic Trail,"Kailua-Kona, HI",96740,(808) 326-6012
hawaii,Haleakalā,hale,National Park,"Makawao, HI",96768,(808) 572-4400
hawaii,Hawai'i Volcanoes,havo,National Park,"Hawaii National Park, HI",96718,(808) 985-6011
hawaii,Honouliuli,hono,National Historic Site,"Honolulu, HI",96818,(808) 725-6149
hawaii,Kalaupapa,kala,National Historical Park,"Honolulu, HI",96818,(808) 567-6802
hawaii,Kaloko-Honokōhau,kaho,National Historical Park,"Kailua-Kona, HI",96740,(808) 329-6881
hawaii,Pearl Harbor,valr,National Memorial,"Honolulu, HI",96818,(808) 422-3399
hawaii,Pu`ukoholā Heiau,puhe,National Historic Site,"Kawaihae, HI",96743,(808) 882-7218
hawaii,Puʻuhonua o Hōnaunau,puho,National Historical Park,"Hōnaunau, HI",96726,(808) 328-2326
idaho,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
idaho,City Of Rocks,ciro,National Reserve,"Almo, ID",83312,208-824-5901
idaho,Craters Of The Moon,crmo,National Monument & Preserve,"Arco, ID",83213,(208) 527-1300
idaho,Hagerman Fossil Beds,hafo,National Monument,"Hagerman, ID",83332,(208) 933-4105
idaho,Ice Age Floods,iafl,National Geologic Trail,"Coulee Dam, WA",99116,(509) 237-9722
idaho,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
idaho,Minidoka,miin,National Historic Site,"Hagerman, ID",83332,208-825-4169
idaho,Nez Perce,nepe,National Historical Park,"Lapwai, ID",83540-9715,(208) 843-7001
idaho,Oregon,oreg,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
idaho,Yellowstone,yell,National Park,"Yellowstone National Park, WY",82190-0168,307-344-7381
illinois,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
illinois,Lincoln Home,liho,National Historic Site,"Springfield, IL",62701,(217) 492-4241
illinois,Mormon Pioneer,mopi,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
illinois,Pullman,pull,National Monument,"Chicago, IL",60628,773-468-9310
illinois,Trail Of Tears,trte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
indiana,George Rogers Clark,gero,National Historical Park,"Vincennes, IN",47591,(812) 882-1776
indiana,Indiana Dunes,indu,National Park,"Porter, IN",46304,(219) 395-1882
indiana,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
indiana,Lincoln Boyhood,libo,National Memorial,"Lincoln City, IN",47552,(812) 937-4541
iowa,Effigy Mounds,efmo,National Monument,"Harpers Ferry, IA",52146,(563) 873-3491
iowa,Herbert Hoover,heho,National Historic Site,"West Branch, IA",52358,(319) 643-2541
iowa,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
iowa,Mormon Pioneer,mopi,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
kansas,Brown v. Board of Education,brvb,National Historic Site,"Topeka, KS",66612-1143,(785) 354-4273
kansas,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
kansas,Fort Larned,fols,National Historic Site,"Larned, KS",67550,620-285-6911
kansas,Fort Scott,fosc,National Historic Site,"Fort Scott, KS",66701,(620) 223-0310
kansas,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
kansas,Nicodemus,nico,National Historic Site,"Nicodemus, KS",67625-3015,(785) 839-4233
kansas,Oregon,oreg,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
kansas,Pony Express,poex,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
kansas,Santa Fe,safe,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
kansas,Tallgrass Prairie,tapr,National Preserve,"Strong City, KS",66869,(620) 273-8494
kentucky,Abraham Lincoln Birthplace,abli,National Historical Park,"Hodgenville, KY",42748,(270) 358-3137
kentucky,Big South Fork,biso,National River & Recreation Area,"Oneida, TN",37841,(423) 569-9778
kentucky,Camp Nelson,cane,National Monument,"Nicholasville, KY",40356,(859) 881-5716
kentucky,Cumberland Gap,cuga,National Historical Park,"Middlesboro, KY",40965,(606) 248-2817
kentucky,Fort Donelson,fodo,National Battlefield,"Dover, TN",37058,931-232-5706
kentucky,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
kentucky,Mammoth Cave,maca,National Park,"Omaha, NE",68102,(270) 758-2180
kentucky,Mill Springs Battlefield,misp,National Monument,"Nancy, KY",42544,606-636-4045
kentucky,Trail Of Tears,trte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
louisiana,Cane River Creole,cari,National Historical Park,"Natchitoches, LA",71458,318-352-0383
louisiana,El Camino Real de los Tejas,elte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
louisiana,Jean Lafitte,jela,National Historical Park and Preserve,"New Orleans, LA",70130,(504) 589-3882
louisiana,New Orleans Jazz,jazz,National Historical Park,"New Orleans, LA",70116,(504) 589-4841
louisiana,Poverty Point,popo,National Monument,"Pioneer, LA",71266,(318) 926-5492
louisiana,Vicksburg,vick,National Military Park,"Vicksburg, MS",39183,(601) 636-0583
maine,Acadia,acad,National Park,"Bar Harbor, ME",04609,(207) 288-3338
maine,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278
maine,Katahdin Woods and Waters,kaww,National Monument,"Patten, ME",04765,207-456-6001
maine,Maine Acadian Culture,maac,,"Patten, ME",04765,(207) 728-6826
maine,Roosevelt Campobello,roca,International Park,"Patten, ME",04765,(506) 752-2922
maine,Saint Croix Island,sacr,International Historic Site,"Calais, ME",04619,(207) 454-3871
maryland,Antietam,anti,National Battlefield,"Sharpsburg, MD",21782,(301) 432-5124
maryland,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278
maryland,Assateague Island,asis,National Seashore,"Berlin, MD",21811,(410) 641-1441
maryland,Baltimore-Washington,bawa,Parkway,"Greenbelt, MD",20770,(301) 344-3948
maryland,Captain John Smith Chesapeake,cajo,National Historic Trail,"Yorktown, VA",23690,(757) 898-3400
maryland,Catoctin Mountain,cato,Park,"Thurmont, MD",21788,(301) 663-9388
maryland,Chesapeake & Ohio Canal,choh,National Historical Park,"Hagerstown, MD",21740,301-739-4200
maryland,Chesapeake Bay,cbpo,,"Annapolis, MD",21403,(410) 260-2470
maryland,Civil War Defenses of Washington,cwdw,,"Washington, DC",20008,202-829-2163
maryland,Clara Barton,clba,National Historic Site,"McLean, VA",22101,(301) 320-1400
maryland,Fort Foote,fofo,Park,"Fort Washington, MD",20744,(301) 763-4600
maryland,Fort McHenry,fomc,National Monument and Historic Shrine,"Baltimore, MD",21230,(410) 962-4290
maryland,Fort Washington,fowa,Park,"Fort Washington, MD",20744,(301) 763-4600
maryland,George Washington,gwmp,Memorial Parkway,"McLean, VA",22101,(703) 289-2500
maryland,Glen Echo,glec,Park,"Glen Echo, MD",20812,(301) 320-1400
maryland,Greenbelt,gree,Park,"Greenbelt, MD",20770,(301) 344-3948
maryland,Hampton,hamp,National Historic Site,"Towson, MD",21286,410.823.1309
maryland,Harmony Hall,haha,,"Fort Washington, MD",20744,(301) 763-4600
maryland,Harpers Ferry,hafe,National Historical Park,"Harpers Ferry, WV",25425,(304) 535-6029
maryland,Harriet Tubman Underground Railroad,hatu,National Historical Park,"Church Creek, MD",21622,410-221-2290
maryland,Monocacy,mono,National Battlefield,"Frederick, MD",21704,(301) 662-3515
maryland,Oxon Cove  Park & Oxon Hill Farm,oxhi,,"Oxon Hill, MD",20745,(301) 839-1176
maryland,Piscataway,pisc,Park,"Fort Washington, MD",20616,301-763-4600
maryland,Potomac Heritage,pohe,National Scenic Trail,"Washington, DC",20242,202-619-7154
maryland,Star-Spangled Banner,stsp,National Historic Trail,"Baltimore, MD",21230,410.962.4290
maryland,Thomas Stone,thst,National Historic Site,"Port Tobacco, MD",20677,804-224-1732
maryland,Washington-Rochambeau Revolutionary Route,waro,National Historic Trail,"King of Prussia, PA",19406,610-783-1006
massachusetts,Adams,adam,National Historical Park,"Quincy, MA",02169,617-770-1175
massachusetts,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278
massachusetts,Blackstone River Valley,blrv,National Historical Park,"Providence, RI",02903,401-521-7266
massachusetts,Boston,bost,National Historical Park,"Charlestown, MA",02129,(617) 242-5601
massachusetts,Boston African American,boaf,National Historic Site,"Boston, MA",02109,(617) 742-5415
massachusetts,Boston Harbor Islands,boha,National Recreation Area,"Boston, MA",02109,(617) 223-8666
massachusetts,Cape Cod,caco,National Seashore,"Wellfleet, MA",02667,(508) 255-3421
massachusetts,Frederick Law Olmsted,frla,National Historic Site,"Brookline, MA",02445,(617) 566-1689
massachusetts,John Fitzgerald Kennedy,jofi,National Historic Site,"Brookline, MA",02446,(617) 566-7937
massachusetts,Longfellow House Washington's Headquarters,long,National Historic Site,"Cambridge, MA",02138,(617) 876-4491
massachusetts,Lowell,lowe,National Historical Park,"Lowell, MA",01852,(978) 970-5000
massachusetts,Minute Man,mima,National Historical Park,"Concord, MA",01742,(978) 369-6993
massachusetts,New Bedford Whaling,nebe,National Historical Park,"New Bedford, MA",02740,508-996-4095
massachusetts,New England,neen,National Scenic Trail,"Springfield, MA",01105,413-351-8182
massachusetts,Salem Maritime,sama,National Historic Site,"Salem, MA",01970,978-740-1650
massachusetts,Saugus Iron Works,sair,National Historic Site,"Saugus, MA",01906,781-233-0050
massachusetts,Springfield Armory,spar,National Historic Site,"Springfield, MA",01105,(413) 734-8551
massachusetts,Washington-Rochambeau Revolutionary Route,waro,National Historic Trail,"King of Prussia, PA",19406,610-783-1006
michigan,Isle Royale,isro,National Park,"Houghton, MI",49931,(906) 482-0984
michigan,Keweenaw,kewe,National Historical Park,"Calumet, MI",49913,(906) 337-3168
michigan,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906
michigan,Pictured Rocks,piro,National Lakeshore,"Munising, MI",49862,(906) 387-3700
michigan,River Raisin,rira,National Battlefield Park,"Monroe, MI",48162,734 243 7136
michigan,Sleeping Bear Dunes,slbe,National Lakeshore,"Empire, MI",49630,(231) 326-4700
minnesota,Grand Portage,grpo,National Monument,"Grand Portage, MN",55605,(218) 475-0123
minnesota,Mississippi,miss,National River and Recreation Area,"Saint Paul, MN",55101,(651) 293-0200
minnesota,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906
minnesota,Pipestone,pipe,National Monument,"Pipestone, MN",56164,(507) 825-5464
minnesota,Saint Croix,sacn,National Scenic Riverway,"St. Croix Falls, WI",54024,(715) 483-2274
minnesota,Voyageurs,voya,National Park,"International Falls, MN",56649,(218)-283-6600
mississippi,Brices Cross Roads,brcr,National Battlefield Site,"Tupelo, MS",38804,18003057417
mississippi,Gulf Islands,guis,National Seashore,"Gulf Breeze, FL",32563,(850) 934-2600
mississippi,Medgar and Myrlie Evers Home,memy,National Monument,"Atlanta, GA",30303,601-345-7211
mississippi,Natchez,natc,National Historical Park,"Natchez, MS",39120,(601) 446-5790
mississippi,Natchez Trace,natr,Parkway,"Tupelo, MS",38804,(800) 305-7417
mississippi,Natchez Trace,natt,National Scenic Trail,"Tupelo, MS",38804,18003057417
mississippi,Shiloh,shil,National Military Park,"Shiloh, TN",38376,(731) 689-5696
mississippi,Tupelo,tupe,National Battlefield,"Tupelo, MS",38804,18003057417
mississippi,Vicksburg,vick,National Military Park,"Vicksburg, MS",39183,(601) 636-0583
missouri,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
missouri,Gateway Arch,jeff,National Park,"St. Louis, MO",63102,(314) 655-1600
missouri,George Washington Carver,gwca,National Monument,"Diamond, MO",64840,417.325.4151
missouri,Harry S Truman,hstr,National Historic Site,"Independence, MO",64050,(816) 254-2720
missouri,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
missouri,Oregon,oreg,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
missouri,Ozark,ozar,National Scenic Riverways,"Van Buren, MO",63965,(573) 323-4236
missouri,Pony Express,poex,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
missouri,Santa Fe,safe,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
missouri,Ste. Geneviève,stge,National Historical Park,"Ste. Genevieve, MO",63670,573-880-7189
missouri,Trail Of Tears,trte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
missouri,Ulysses S Grant,ulsg,National Historic Site,"St. Louis, MO",63123,(314) 842-1867
missouri,Wilson's Creek,wicr,National Battlefield,"Republic, MO",65738,(417) 732-2662
montana,Big Hole,biho,National Battlefield,"Wisdom, MT",59761,(406) 689-3155
montana,Bighorn Canyon,bica,National Recreation Area,"Lovell, WY",82431,(307) 548-5406
montana,Fort Union Trading Post,fous,National Historic Site,"Williston, ND",58801,(701) 572-9083
montana,Glacier,glac,National Park,"West Glacier, MT",59936,(406) 888-7800
montana,Grant-Kohrs Ranch,grko,National Historic Site,"Deer Lodge, MT",59722,(406) 846-2070
montana,Ice Age Floods,iafl,National Geologic Trail,"Coulee Dam, WA",99116,(509) 237-9722
montana,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
montana,Little Bighorn Battlefield,libi,National Monument,"Crow Agency, MT",59022-0039,(406) 638-3216
montana,Nez Perce,nepe,National Historical Park,"Lapwai, ID",83540-9715,(208) 843-7001
montana,Yellowstone,yell,National Park,"Yellowstone National Park, WY",82190-0168,307-344-7381
nebraska,Agate Fossil Beds,agfo,National Monument,"Harrison, NE",69346,(308) 665-4113
nebraska,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
nebraska,Homestead,home,National Historical Park,"Beatrice, NE",68310,(402) 223-3514
nebraska,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
nebraska,Missouri,mnrr,National Recreational River,"Yankton, SD",57078,605-665-0209
nebraska,Mormon Pioneer,mopi,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
nebraska,Niobrara,niob,National Scenic River,"Valentine, NE",69201,(402) 376-1901
nebraska,Oregon,oreg,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
nebraska,Pony Express,poex,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
nebraska,Scotts Bluff,scbl,National Monument,"Gering, NE",69341,(308) 436-9700
nevada,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
nevada,Death Valley,deva,National Park,"Santa Fe, NM",87505,(760) 786-3200
nevada,Great Basin,grba,National Park,"Baker, NV",89311,775-234-7331
nevada,Lake Mead,lake,National Recreation Area,"Boulder City, NV",89005,(702) 293-8990
nevada,Old Spanish,olsp,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
nevada,Pony Express,poex,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
nevada,Tule Springs Fossil Beds,tusk,National Monument,"Boulder City, NV",89005,(702) 293-8853
new hampshire,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278
